word,exp_1,exp_2,exp_3,answer
Цуйка,фруктовая водка у румын и молдаван,мелкий вальдшнеп,скорняжная игла,1
Логограф,писатель,название первых греческих историков,специалист по логистике,2
Курзал,ёмкость для окурков,зал для курения,помещение на курорте предназначенное для отдыха,3
Триолет,оружие XIX века,азербайджанская боковая флейта,твердая стихотворная форма,3
Маскрон,музыкальное произведение для струнных,вид бабочек,вид скульптурного украшения,3
Гуано,маленький мешочек затягиваемый шнурком,растение в Африке,органическое удобрение,3
Помпельмус,грейпфрут,мандарин,апельсин,1
Шапокляк,Складная шляпа-цилиндр,Настольный чернильный набор,Дамская сумочка с защелкой,1
Епанча,душистая приправа,Старинная верхняя одежда,Теплица,2
Жарарака,Ядовитая змея,Птица,Вёсельая лодка,1
Изюбр,Драгоценный камень,Часть печи,Крупный олень,3
Хромка,Вид русской гармони,Деталь мотоцикла,Маленький жеребенок,1
Жалейка,Одежда крестьян,Русский духовой музыкальный инструмент,Подружка невесты на свадьбе,2
Тутти,Исполнения музыки всем оркестром,Вышивка,Засахеренный плод,1
Гонобобель,Сорт винограда,Голубика,Уважаемый крестьянин,2
Голавль,Ночная бабочка,Зверь,Пресноводная рыба,3
Мятлик,Травянистое растение,Мятая одежда,Мятная конфета,1
Звездорыл,Зверь семейства кротов,Полевой цветок